parent_code,code,label
01,3,Agurain/Salvatierra
01,4,Alegría-Dulantzi
01,9,Amurrio
01,3,Añana
01,5,Aramaio
01,6,Armiñón
01,6,Arraia-Maeztu
01,8,Arratzua-Ubarrundia
01,0,Artziniega
01,1,Asparrena
01,5,Ayala/Aiara
01,2,Baños de Ebro/Mañueta
01,3,Barrundia
01,8,Berantevilla
01,4,Bernedo
01,0,Campezo/Kanpezu
01,0,Elburgo/Burgelu
01,5,Elciego
01,1,Elvillar/Bilar
01,4,Erriberabeitia
01,8,Erriberagoitia/Ribera Alta
01,5,Harana/Valle de Arana
01,5,Iruña Oka/Iruña de Oca
01,8,Iruraiz-Gauna
01,9,Kripan
01,3,Kuartango
01,4,Labastida/Bastida
01,1,Lagrán
01,8,Laguardia
01,3,Lanciego/Lantziego
01,0,Lantarón
01,9,Lapuebla de Labarca
01,0,Laudio/Llodio
01,7,Legutio
01,4,Leza
01,5,Moreda de Álava/Moreda Araba
01,6,Navaridas
01,1,Okondo
01,7,Oyón-Oion
01,2,Peñacerrada-Urizaharra
01,8,Samaniego
01,4,San Millán/Donemiliaga
01,9,Urkabustaiz
01,2,Valdegovía/Gaubea
01,1,Villabuena de Álava/Eskuernaga
01,0,Vitoria-Gasteiz
01,4,Yécora/Iekora
01,1,Zalduondo
01,6,Zambrana
01,6,Zigoitia
01,2,Zuia
02,9,Abengibre
02,4,Alatoz
02,0,Albacete
02,5,Albatana
02,8,Alborea
02,1,Alcadozo
02,7,Alcalá del Júcar
02,3,Alcaraz
02,6,Almansa
02,0,Alpera
02,7,Ayna
02,2,Balazote
02,3,"Ballestero, El"
02,8,Balsa de Ves
02,6,Barrax
02,9,Bienservida
02,5,Bogarra
02,1,Bonete
02,4,"Bonillo, El"
02,8,Carcelén
02,5,Casas de Juan Núñez
02,0,Casas de Lázaro
02,6,Casas de Ves
02,1,Casas-Ibáñez
02,4,Caudete
02,7,Cenizate
02,2,Chinchilla de Monte-Aragón
02,3,Corral-Rubio
02,9,Cotillas
02,6,Elche de la Sierra
02,3,Férez
02,8,Fuensanta
02,4,Fuente-Álamo
02,9,Fuentealbilla
02,2,"Gineta, La"
02,5,Golosalvo
02,1,Hellín
02,7,"Herrera, La"
02,0,Higueruela
02,4,Hoya-Gonzalo
02,1,Jorquera
02,6,Letur
02,2,Lezuza
02,7,Liétor
02,0,Madrigueras
02,3,Mahora
02,9,Masegoso
02,5,Minaya
02,8,Molinicos
02,1,Montalvos
02,8,Montealegre del Castillo
02,3,Motilleja
02,9,Munera
02,4,Navas de Jorquera
02,7,Nerpio
02,0,Ontur
02,6,Ossa de Montiel
02,2,Paterna del Madera
02,9,Peñas de San Pedro
02,5,Peñascosa
02,6,Pétrola
02,1,Povedilla
02,0,Pozo Cañada
02,7,Pozohondo
02,2,Pozo-Lorente
02,5,Pozuelo
02,8,"Recueja, La"
02,4,Riópar
02,0,Robledo
02,3,"Roda, La"
02,7,Salobre
02,4,San Pedro
02,9,Socovos
02,5,Tarazona de la Mancha
02,0,Tobarra
02,3,Valdeganga
02,6,Vianos
02,2,Villa de Ves
02,8,Villalgordo del Júcar
02,1,Villamalea
02,5,Villapalacios
02,2,Villarrobledo
02,7,Villatoya
02,3,Villavaliente
02,8,Villaverde de Guadalimar
02,1,Viveros
02,4,Yeste
03,0,Agost
03,6,Agres
03,1,Aigües
03,4,Albatera
03,7,Alcalalí
03,3,Alcocer de Planes
03,9,Alcoleja
03,2,Alcoy/Alcoi
03,6,Alfafara
03,3,"Alfàs del Pi, l'"
03,8,Algorfa
03,4,Algueña
03,9,Alicante/Alacant
03,2,Almoradí
03,5,Almudaina
03,1,"Alqueria d'Asnar, l'"
03,7,Altea
03,0,Aspe
03,5,"Atzúbia, l'"
03,4,Balones
03,1,Banyeres de Mariola
03,6,Benasau
03,2,Beneixama
03,7,Benejúzar
03,0,Benferri
03,3,Beniarbeig
03,9,Beniardá
03,5,Beniarrés
03,2,Benidoleig
03,9,Benidorm
03,4,Benifallim
03,0,Benifato
03,8,Benigembla
03,5,Benijófar
03,8,Benilloba
03,1,Benillup
03,7,Benimantell
03,3,Benimarfull
03,6,Benimassot
03,0,Benimeli
03,7,Benissa
03,2,"Benitachell/Poble Nou de Benitatxell, el"
03,8,Biar
03,3,Bigastro
03,6,Bolulla
03,9,Busot
03,4,Callosa de Segura
03,1,Callosa d'en Sarrià
03,5,Calp
03,7,"Campello, el"
03,4,"Campo de Mirra/Camp de Mirra, el"
03,9,Cañada
03,5,Castalla
03,0,Castell de Castells
03,9,"Castell de Guadalest, el"
03,3,Catral
03,6,Cocentaina
03,2,Confrides
03,8,Cox
03,1,Crevillent
03,2,Daya Nueva
03,7,Daya Vieja
03,3,Dénia
03,8,Dolores
03,1,Elche/Elx
03,4,Elda
03,0,Facheca
03,6,Famorca
03,9,Finestrat
03,8,"Fondó de les Neus, el/Hondón de las Nieves"
03,3,Formentera del Segura
03,5,Gaianes
03,0,Gata de Gorgos
03,1,Gorga
03,6,Granja de Rocamora
03,2,Guardamar del Segura
03,4,Hondón de los Frailes
03,7,Ibi
03,1,Jacarilla
03,3,Jávea/Xàbia
03,9,Jijona/Xixona
03,7,Llíber
03,4,"Lorcha/Orxa, l'"
03,0,Millena
03,2,Monforte del Cid
03,5,Monóvar/Monòver
03,7,"Montesinos, Los"
03,6,Murla
03,1,Muro de Alcoy
03,9,Mutxamel
03,7,Novelda
03,2,"Nucia, la"
03,5,Ondara
03,8,Onil
03,4,Orba
03,3,Orihuela
03,0,Orxeta
03,7,Parcent
03,4,Pedreguer
03,9,Pego
03,5,Penàguila
03,0,Petrer
03,1,Pilar de la Horadada
03,3,"Pinós, el/Pinoso"
03,6,Planes
03,6,"Poblets, els"
03,2,Polop
03,5,Quatretondeta
03,1,Rafal
03,5,"Ràfol d'Almúnia, el"
03,2,Redován
03,7,Relleu
03,3,Rojales
03,8,"Romana, la"
03,1,Sagra
03,4,Salinas
03,6,San Fulgencio
03,2,San Isidro
03,3,San Miguel de Salinas
03,5,San Vicente del Raspeig/Sant Vicent del Raspeig
03,0,Sanet y Negrals
03,9,Sant Joan d'Alacant
03,0,Santa Pola
03,1,Sax
03,6,Sella
03,9,Senija
03,8,Tàrbena
03,4,Teulada
03,7,Tibi
03,1,Tollos
03,8,Tormos
03,3,"Torremanzanas/Torre de les Maçanes, la"
03,9,Torrevieja
03,4,"Vall d'Alcalà, la"
03,0,Vall de Gallinera
03,6,"Vall de Laguar, la"
03,7,"Vall d'Ebo, la"
03,2,"Verger, el"
03,5,"Villajoyosa/Vila Joiosa, la"
03,9,Villena
03,8,Xaló
04,0,Abla
04,5,Abrucena
04,1,Adra
04,6,Albanchez
04,9,Alboloduy
04,2,Albox
04,8,Alcolea
04,4,Alcóntar
04,7,Alcudia de Monteagud
04,1,Alhabia
04,8,Alhama de Almería
04,3,Alicún
04,9,Almería
04,4,Almócita
04,7,Alsodux
04,0,Antas
04,6,Arboleas
04,2,Armuña de Almanzora
04,5,Bacares
04,7,Balanegra
04,9,Bayárcal
04,6,Bayarque
04,1,Bédar
04,7,Beires
04,2,Benahadux
04,8,Benitagla
04,4,Benizalón
04,0,Bentarique
04,3,Berja
04,7,Canjáyar
04,4,Cantoria
04,9,Carboneras
04,5,Castro de Filabres
04,6,Chercos
04,2,Chirivel
04,0,Cóbdar
04,3,Cuevas del Almanzora
04,8,Dalías
04,6,"Ejido, El"
04,2,Enix
04,3,Felix
04,8,Fines
04,1,Fiñana
04,4,Fondón
04,0,Gádor
04,6,"Gallardos, Los"
04,9,Garrucha
04,2,Gérgal
04,9,Huécija
04,4,Huércal de Almería
04,0,Huércal-Overa
04,5,Íllar
04,8,Instinción
04,1,Laroya
04,7,Láujar de Andarax
04,3,Líjar
04,6,Lubrín
04,0,Lucainena de las Torres
04,7,Lúcar
04,2,Macael
04,8,María
04,3,Mojácar
04,2,"Mojonera, La"
04,6,Nacimiento
04,9,Níjar
04,5,Ohanes
04,1,Olula de Castro
04,4,Olula del Río
04,8,Oria
04,5,Padules
04,0,Partaloa
04,6,Paterna del Río
04,1,Pechina
04,4,Pulpí
04,7,Purchena
04,3,Rágol
04,9,Rioja
04,2,Roquetas de Mar
04,6,Santa Cruz de Marchena
04,3,Santa Fe de Mondújar
04,8,Senés
04,4,Serón
04,9,Sierro
04,2,Somontín
04,5,Sorbas
04,1,Suflí
04,7,Tabernas
04,0,Taberno
04,4,Tahal
04,1,Terque
04,6,Tíjola
04,1,"Tres Villas, Las"
04,2,Turre
04,7,Turrillas
04,0,Uleila del Campo
04,3,Urrácal
04,9,Velefique
04,5,Vélez-Blanco
04,8,Vélez-Rubio
04,2,Vera
04,9,Viator
04,4,Vícar
04,0,Zurgena
05,3,Adanero
05,8,"Adrada, La"
05,2,Albornos
05,1,Aldeanueva de Santa Cruz
05,7,Aldeaseca
05,4,"Aldehuela, La"
05,6,Amavida
05,2,"Arenal, El"
05,7,Arenas de San Pedro
05,0,Arevalillo
05,3,Arévalo
05,9,Aveinte
05,5,Avellaneda
05,8,Ávila
05,9,"Barco de Ávila, El"
05,4,"Barraco, El"
05,0,Barromán
05,5,Becedas
05,8,Becedillas
05,1,Bercial de Zapardiel
05,7,"Berlanas, Las"
05,6,Bernuy-Zapardiel
05,0,Berrocalejo de Aragona
05,8,Blascomillán
05,3,Blasconuño de Matacabras
05,6,Blascosancho
05,9,"Bohodón, El"
05,5,Bohoyo
05,1,Bonilla de la Sierra
05,4,Brabos
05,8,Bularros
05,5,Burgohondo
05,0,Cabezas de Alambre
05,6,Cabezas del Pozo
05,1,Cabezas del Villar
05,4,Cabizuela
05,7,Canales
05,3,Candeleda
05,9,Cantiveros
05,2,Cardeñosa
05,2,"Carrera, La"
05,7,Casas del Puerto
05,3,Casasola
05,8,Casavieja
05,1,Casillas
05,4,Castellanos de Zapardiel
05,0,Cebreros
05,6,Cepeda la Mora
05,8,Chamartín
05,9,Cillán
05,3,Cisla
05,0,"Colilla, La"
05,5,Collado de Contreras
05,1,Collado del Mirón
05,6,Constanzana
05,9,Crespos
